County,Total_Population_County,Total_Population_Medicaid,Male_Total_Medicaid,Male_Under_19_Medicaid,Male_Under_19_With_Medicaid,Male_Under_19_No_Medicaid,Male_19_to_64_Medicaid,Male_19_to_64_With_Medicaid,Male_19_to_64_No_Medicaid,Male_65_and_Over_Medicaid,Male_65_and_Over_With_Medicaid,Male_65_and_Over_No_Medicaid,Female_Total_Medicaid,Female_Under_19_Medicaid,Female_Under_19_With_Medicaid,Female_Under_19_No_Medicaid,Female_19_to_64_Medicaid,Female_19_to_64_With_Medicaid,Female_19_to_64_No_Medicaid,Female_65_and_Over_Medicaid,Female_65_and_Over_With_Medicaid,Female_65_and_Over_No_Medicaid,state,county,Year
"Jackson County, Oregon",201286,200021,96532,22158,7389,14769,59112,4108,55004,15262,1565,13697,103489,21996,6677,15319,62322,5798,56524,19171,2339,16832,41,029,2009
"Josephine County, Oregon",81026,80635,38445,8592,4875,3717,22072,3197,18875,7781,1029,6752,42190,7705,3876,3829,24829,4184,20645,9656,1077,8579,41,033,2009
"Klamath County, Oregon",66890,66237,31577,7233,2919,4314,19190,1592,17598,5154,360,4794,34660,8074,3028,5046,20430,2798,17632,6156,688,5468,41,035,2009
"Lane County, Oregon",351109,348815,171003,35637,11948,23689,113447,8336,105111,21919,3088,18831,177812,34248,11601,22647,116405,14837,101568,27159,3998,23161,41,039,2009
"Linn County, Oregon",116584,114298,56523,14674,3303,11371,34148,2438,31710,7701,1012,6689,57775,13416,4800,8616,35499,4468,31031,8860,1776,7084,41,043,2009
"Marion County, Oregon",317981,308927,152631,42718,14709,28009,93476,4432,89044,16437,2186,14251,156296,41537,12747,28790,92666,8685,83981,22093,2899,19194,41,047,2009
"Multnomah County, Oregon",726855,719694,353840,78006,22709,55297,246316,13457,232859,29518,4442,25076,365854,76025,25080,50945,248943,21401,227542,40886,7486,33400,41,051,2009
"Polk County, Oregon",78122,77093,37837,9606,3084,6522,22170,1004,21166,6061,452,5609,39256,8587,2680,5907,23099,1782,21317,7570,1030,6540,41,053,2009
"Umatilla County, Oregon",73347,69825,34792,10462,2310,8152,20132,861,19271,4198,357,3841,35033,8918,1129,7789,21289,1930,19359,4826,588,4238,41,059,2009
"Washington County, Oregon",537318,532725,267036,70601,12103,58498,174372,5923,168449,22063,2800,19263,265689,66951,12768,54183,171548,9137,162411,27190,3475,23715,41,067,2009
"Yamhill County, Oregon",99037,96845,48046,12613,2863,9750,29964,1388,28576,5469,557,4912,48799,11953,2892,9061,30115,2188,27927,6731,614,6117,41,071,2009
"Adams County, Pennsylvania",102323,102096,50532,11666,3535,8131,32233,1818,30415,6633,817,5816,51564,11263,2670,8593,31658,1999,29659,8643,1214,7429,42,001,2009
"Allegheny County, Pennsylvania",1218494,1201913,573644,123767,39200,84567,371136,29339,341797,78741,9300,69441,628269,117963,38900,79063,393189,50574,342615,117117,18241,98876,42,003,2009
"Armstrong County, Pennsylvania",67851,67371,33256,7244,2718,4526,20788,1636,19152,5224,754,4470,34115,6763,2295,4468,20460,3253,17207,6892,1042,5850,42,005,2009
"Beaver County, Pennsylvania",171673,166424,78164,17607,6370,11237,48050,5002,43048,12507,1736,10771,88260,16264,5153,11111,53986,7933,46053,18010,3355,14655,42,007,2009
"Berks County, Pennsylvania",407125,399784,198639,49892,15629,34263,125352,8729,116623,23395,2673,20722,201145,47008,16912,30096,124949,12539,112410,29188,3745,25443,42,011,2009
"Blair County, Pennsylvania",126122,123700,59373,13940,5902,8038,37184,3098,34086,8249,1275,6974,64327,13089,5136,7953,38916,6504,32412,12322,2265,10057,42,013,2009
"Bucks County, Pennsylvania",626015,619278,306063,72718,10077,62641,195221,8362,186859,38124,3102,35022,313215,69101,9114,59987,196287,10672,185615,47827,4445,43382,42,017,2009
"Butler County, Pennsylvania",184694,179079,87855,21030,4807,16223,56557,4310,52247,10268,1163,9105,91224,20031,4663,15368,57651,4989,52662,13542,2025,11517,42,019,2009
"Cambria County, Pennsylvania",143998,138081,66866,14727,6257,8470,41732,3579,38153,10407,1624,8783,71215,13556,5583,7973,42406,6364,36042,15253,2387,12866,42,021,2009
"Centre County, Pennsylvania",146212,143382,72201,12068,3351,8717,53139,2301,50838,6994,784,6210,71181,11475,2010,9465,50589,3563,47026,9117,645,8472,42,027,2009
"Chester County, Pennsylvania",498894,494562,244645,63003,10181,52822,155220,5831,149389,26422,1987,24435,249917,59855,8919,50936,156130,7132,148998,33932,3084,30848,42,029,2009
"Clearfield County, Pennsylvania",82324,78525,38566,8129,3886,4243,24752,3100,21652,5685,678,5007,39959,7945,3336,4609,23918,4102,19816,8096,1258,6838,42,033,2009
"Columbia County, Pennsylvania",65111,63947,30632,6329,1991,4338,20043,1129,18914,4260,628,3632,33315,6433,1868,4565,21566,2431,19135,5316,807,4509,42,037,2009
"Crawford County, Pennsylvania",88521,87311,42966,10320,4003,6317,26335,3404,22931,6311,1032,5279,44345,9522,3241,6281,26636,5220,21416,8187,1759,6428,42,039,2009
"Cumberland County, Pennsylvania",232483,225230,108312,24496,3575,20921,69484,3561,65923,14332,1254,13078,116918,22818,3501,19317,74279,4394,69885,19821,1993,17828,42,041,2009
"Dauphin County, Pennsylvania",258934,256008,122639,29491,9958,19533,78619,6815,71804,14529,1615,12914,133369,29833,9751,20082,82972,10713,72259,20564,3425,17139,42,043,2009
"Delaware County, Pennsylvania",558028,546179,261306,64987,17602,47385,165651,12026,153625,30668,3615,27053,284873,63209,16636,46573,176354,20448,155906,45310,5644,39666,42,045,2009
"Erie County, Pennsylvania",280291,273278,132967,32508,13226,19282,84917,9218,75699,15542,1933,13609,140311,30640,13370,17270,87662,15640,72022,22009,2841,19168,42,049,2009
"Fayette County, Pennsylvania",142605,139141,67385,15049,7424,7625,42867,6073,36794,9469,1070,8399,71756,13726,6463,7263,43680,8017,35663,14350,2286,12064,42,051,2009
"Franklin County, Pennsylvania",144994,143199,69117,16656,4540,12116,42141,2139,40002,10320,1064,9256,74082,16838,3894,12944,43536,4089,39447,13708,1180,12528,42,055,2009
