County,Total_Population_County,Total_Population_Medicaid,Male_Total_Medicaid,Male_Under_19_Medicaid,Male_Under_19_With_Medicaid,Male_Under_19_No_Medicaid,Male_19_to_64_Medicaid,Male_19_to_64_With_Medicaid,Male_19_to_64_No_Medicaid,Male_65_and_Over_Medicaid,Male_65_and_Over_With_Medicaid,Male_65_and_Over_No_Medicaid,Female_Total_Medicaid,Female_Under_19_Medicaid,Female_Under_19_With_Medicaid,Female_Under_19_No_Medicaid,Female_19_to_64_Medicaid,Female_19_to_64_With_Medicaid,Female_19_to_64_No_Medicaid,Female_65_and_Over_Medicaid,Female_65_and_Over_With_Medicaid,Female_65_and_Over_No_Medicaid,state,county,Year
"Indiana County, Pennsylvania",87450,85931,42199,8085,3473,4612,28315,2096,26219,5799,581,5218,43732,7715,2797,4918,28344,2707,25637,7673,1143,6530,42,063,2009
"Lackawanna County, Pennsylvania",208801,205841,97080,21216,8221,12995,61882,5115,56767,13982,1758,12224,108761,21976,9766,12210,65447,9612,55835,21338,3633,17705,42,069,2009
"Lancaster County, Pennsylvania",507766,501481,247071,65440,16819,48621,151306,8580,142726,30325,2492,27833,254410,60303,14636,45667,153720,13905,139815,40387,4102,36285,42,071,2009
"Lawrence County, Pennsylvania",90160,89211,42466,9554,3311,6243,26190,1646,24544,6722,900,5822,46745,9430,3946,5484,27333,3360,23973,9982,1048,8934,42,073,2009
"Lebanon County, Pennsylvania",130506,127969,62210,15163,3907,11256,37994,1694,36300,9053,1179,7874,65759,14219,4091,10128,39510,3651,35859,12030,1439,10591,42,075,2009
"Lehigh County, Pennsylvania",343519,338805,164822,40830,14174,26656,103174,8401,94773,20818,2030,18788,173983,39653,13019,26634,105395,12180,93215,28935,3273,25662,42,077,2009
"Luzerne County, Pennsylvania",312845,304933,147907,32616,11700,20916,94167,7495,86672,21124,2675,18449,157026,31019,11076,19943,94008,12998,81010,31999,4941,27058,42,079,2009
"Lycoming County, Pennsylvania",116840,113724,56829,12200,3224,8976,37033,3911,33122,7596,1120,6476,56895,11655,4472,7183,34903,6424,28479,10337,1968,8369,42,081,2009
"Mercer County, Pennsylvania",116071,113833,55717,12675,4430,8245,34856,4502,30354,8186,1100,7086,58116,11809,4031,7778,34798,6199,28599,11509,2201,9308,42,085,2009
"Monroe County, Pennsylvania",166355,165069,82394,20041,6355,13686,53121,3606,49515,9232,1287,7945,82675,19319,6333,12986,52045,5899,46146,11311,1776,9535,42,089,2009
"Montgomery County, Pennsylvania",782339,759949,366860,89934,13876,76058,229916,7416,222500,47010,3439,43571,393089,86949,13272,73677,243539,11721,231818,62601,5465,57136,42,091,2009
"Northampton County, Pennsylvania",298990,294017,144024,33399,8048,25351,92728,5101,87627,17897,1613,16284,149993,32086,7900,24186,94000,8344,85656,23907,2201,21706,42,095,2009
"Northumberland County, Pennsylvania",91311,87084,41950,8999,3094,5905,26387,2833,23554,6564,1349,5215,45134,8780,3689,5091,26960,4092,22868,9394,1602,7792,42,097,2009
"Philadelphia County, Pennsylvania",1547297,1524625,710486,184096,92936,91160,456127,68438,387689,70263,15295,54968,814139,178783,85333,93450,522261,114098,408163,113095,23868,89227,42,101,2009
"Schuylkill County, Pennsylvania",146952,140275,68987,14788,5087,9701,43745,3602,40143,10454,1946,8508,71288,14060,5855,8205,42112,6973,35139,15116,2818,12298,42,107,2009
"Somerset County, Pennsylvania",76953,73601,35899,7972,3182,4790,22312,2381,19931,5615,855,4760,37702,7392,2371,5021,22260,3435,18825,8050,1187,6863,42,111,2009
"Washington County, Pennsylvania",207389,204621,99627,21829,7538,14291,63404,6692,56712,14394,1867,12527,104994,20783,6194,14589,64434,8757,55677,19777,3129,16648,42,125,2009
"Westmoreland County, Pennsylvania",362251,357229,173780,36633,12266,24367,109319,8613,100706,27828,2389,25439,183449,34585,10283,24302,110882,14306,96576,37982,4121,33861,42,129,2009
"York County, Pennsylvania",428937,423400,209308,51048,14133,36915,132845,9969,122876,25415,3081,22334,214092,48134,13512,34622,134292,15052,119240,31666,3437,28229,42,133,2009
"Kent County, Rhode Island",168752,167343,80412,17489,2675,14814,52455,3460,48995,10468,758,9710,86931,17296,3495,13801,54497,5284,49213,15138,1699,13439,44,003,2009
"Newport County, Rhode Island",80300,76985,36964,8190,1469,6721,22873,978,21895,5901,601,5300,40021,7581,1059,6522,25421,1932,23489,7019,1170,5849,44,005,2009
"Providence County, Rhode Island",627690,617012,299751,72415,28355,44060,195758,20304,175454,31578,4943,26635,317261,68236,24896,43340,202603,32335,170268,46422,8849,37573,44,007,2009
"Washington County, Rhode Island",126925,125442,61030,13072,3315,9757,39863,2962,36901,8095,821,7274,64412,12184,2322,9862,41693,3690,38003,10535,1482,9053,44,009,2009
"Aiken County, South Carolina",156017,153739,73761,18374,7254,11120,45406,3512,41894,9981,1546,8435,79978,17703,6160,11543,49196,5966,43230,13079,3058,10021,45,003,2009
"Anderson County, South Carolina",184901,183001,88313,22821,8381,14440,54050,4125,49925,11442,1088,10354,94688,21710,7651,14059,57388,6785,50603,15590,2615,12975,45,007,2009
"Beaufort County, South Carolina",155215,143447,65308,16676,3912,12764,33829,1599,32230,14803,1458,13345,78139,16855,4690,12165,44579,3828,40751,16705,2029,14676,45,013,2009
"Berkeley County, South Carolina",173498,166982,81130,22010,6272,15738,51902,3356,48546,7218,915,6303,85852,21365,7935,13430,55964,5250,50714,8523,1092,7431,45,015,2009
"Charleston County, South Carolina",355276,348612,166314,38563,13231,25332,108842,6788,102054,18909,3399,15510,182298,36849,12744,24105,120154,9689,110465,25295,5714,19581,45,019,2009
"Darlington County, South Carolina",66445,64751,31663,9451,3889,5562,18510,1733,16777,3702,663,3039,33088,6758,2868,3890,21377,2960,18417,4953,1297,3656,45,031,2009
"Dorchester County, South Carolina",130417,126857,59708,16496,5470,11026,37627,2851,34776,5585,519,5066,67149,18159,4627,13532,42043,3921,38122,6947,1061,5886,45,035,2009
"Florence County, South Carolina",134208,132585,62147,16958,7334,9624,38328,4932,33396,6861,1038,5823,70438,17029,6496,10533,43113,6191,36922,10296,1609,8687,45,041,2009
"Greenville County, South Carolina",451428,444672,217056,57341,16672,40669,137047,10942,126105,22668,2838,19830,227616,54085,18349,35736,143157,15199,127958,30374,4041,26333,45,045,2009
"Greenwood County, South Carolina",69671,68042,31717,8559,4441,4118,19121,1315,17806,4037,346,3691,36325,8436,5449,2987,22007,3177,18830,5882,902,4980,45,047,2009
"Horry County, South Carolina",263868,261483,126898,27380,8805,18575,78627,4304,74323,20891,2221,18670,134585,26979,9822,17157,82833,8197,74636,24773,3539,21234,45,051,2009
"Lancaster County, South Carolina",77767,77767,39314,10170,3859,6311,25034,1537,23497,4110,616,3494,38453,8255,2416,5839,24443,2309,22134,5755,880,4875,45,057,2009
"Laurens County, South Carolina",70045,68754,33529,8308,3449,4859,21624,1749,19875,3597,740,2857,35225,7339,2993,4346,22371,3182,19189,5515,1498,4017,45,059,2009
"Lexington County, South Carolina",255607,253214,121965,32269,7295,24974,76939,5005,71934,12757,2021,10736,131249,31766,7903,23863,82119,6916,75203,17364,2514,14850,45,063,2009
"Oconee County, South Carolina",71514,71436,35222,7962,4057,3905,21169,2026,19143,6091,834,5257,36214,7392,3871,3521,21456,4052,17404,7366,1109,6257,45,073,2009
"Orangeburg County, South Carolina",90112,88752,41476,11216,3975,7241,24767,2147,22620,5493,1422,4071,47276,10144,4458,5686,29704,4597,25107,7428,2157,5271,45,075,2009
"Pickens County, South Carolina",118144,116710,58288,13217,4831,8386,38285,2553,35732,6786,535,6251,58422,11981,3681,8300,37822,4193,33629,8619,1315,7304,45,077,2009
"Richland County, South Carolina",372023,351060,164379,45089,11674,33415,104832,5645,99187,14458,1516,12942,186681,43351,14207,29144,123170,14254,108916,20160,2741,17419,45,079,2009
"Spartanburg County, South Carolina",286822,282923,136726,35950,11845,24105,84867,8083,76784,15909,2733,13176,146197,33821,9817,24004,89821,9802,80019,22555,4288,18267,45,083,2009
"Sumter County, South Carolina",104495,100332,46321,13535,5851,7684,27321,3945,23376,5465,407,5058,54011,13489,4296,9193,32246,3567,28679,8276,1862,6414,45,085,2009
"York County, South Carolina",227003,224807,109274,29064,8789,20275,68414,3111,65303,11796,2024,9772,115533,28025,7660,20365,72954,6048,66906,14554,2299,12255,45,091,2009
"Minnehaha County, South Dakota",183048,180067,88223,22289,6790,15499,56763,3382,53381,9171,563,8608,91844,21657,4885,16772,58424,4355,54069,11763,977,10786,46,099,2009
"Pennington County, South Dakota",100850,98101,49026,12934,4690,8244,29757,1208,28549,6335,1894,4441,49075,11388,4103,7285,30771,3154,27617,6916,1187,5729,46,103,2009
"Anderson County, Tennessee",74849,73984,35872,8574,3717,4857,22213,3514,18699,5085,433,4652,38112,8219,4168,4051,23284,5198,18086,6609,1359,5250,47,001,2009
"Blount County, Tennessee",122784,120734,59208,14049,4190,9859,36842,2929,33913,8317,421,7896,61526,12607,4194,8413,38555,5312,33243,10364,1303,9061,47,009,2009
"Bradley County, Tennessee",97710,96897,47104,11782,4029,7753,29342,2999,26343,5980,1369,4611,49793,10792,3259,7533,31034,2856,28178,7967,2315,5652,47,011,2009
"Davidson County, Tennessee",635710,625453,298842,70182,27266,42916,201760,10005,191755,26900,3685,23215,326611,69543,24479,45064,216800,24277,192523,40268,6861,33407,47,037,2009
"Greene County, Tennessee",66282,65471,32452,7101,2788,4313,20612,2646,17966,4739,729,4010,33019,6749,3023,3726,20311,3292,17019,5959,1394,4565,47,059,2009
"Hamilton County, Tennessee",337175,334626,160380,38098,14696,23402,102057,7835,94222,20225,2205,18020,174246,35633,13507,22126,109802,15515,94287,28811,4186,24625,47,065,2009
"Knox County, Tennessee",435725,432076,210835,49661,15885,33776,138204,8304,129900,22970,2084,20886,221241,45492,12953,32539,143774,17800,125974,31975,3288,28687,47,093,2009
"Madison County, Tennessee",97317,96340,46342,12690,5696,6994,28867,3573,25294,4785,534,4251,49998,11379,4148,7231,31790,7214,24576,6829,1106,5723,47,113,2009
"Maury County, Tennessee",84302,82925,40385,10142,3638,6504,25791,1698,24093,4452,627,3825,42540,9367,2881,6486,26667,3045,23622,6506,1311,5195,47,119,2009
"Montgomery County, Tennessee",160978,145087,64536,21811,3929,17882,36939,2544,34395,5786,1006,4780,80551,21691,4388,17303,51855,6053,45802,7005,1607,5398,47,125,2009
"Putnam County, Tennessee",72431,71444,35250,8049,2504,5545,22616,1881,20735,4585,709,3876,36194,7711,2286,5425,22345,2788,19557,6138,985,5153,47,141,2009
"Robertson County, Tennessee",66581,66312,32752,8765,2194,6571,20725,1426,19299,3262,360,2902,33560,8788,3074,5714,20502,3040,17462,4270,1079,3191,47,147,2009
"Rutherford County, Tennessee",257048,254308,125459,34083,9092,24991,82519,4322,78197,8857,1103,7754,128849,32812,10700,22112,85158,7575,77583,10879,2445,8434,47,149,2009
"Sevier County, Tennessee",86243,85527,41830,9758,3459,6299,26191,1747,24444,5881,547,5334,43697,9641,3667,5974,26854,2887,23967,7202,641,6561,47,155,2009
"Shelby County, Tennessee",920232,908569,429922,126394,46705,79689,267163,23120,244043,36365,5788,30577,478647,124025,47819,76206,300662,44424,256238,53960,11155,42805,47,157,2009
"Sullivan County, Tennessee",154552,151890,73296,16535,5752,10783,45094,5638,39456,11667,1825,9842,78594,15384,5379,10005,48248,8715,39533,14962,3003,11959,47,163,2009
"Sumner County, Tennessee",158759,157337,77530,21009,6314,14695,48568,4572,43996,7953,946,7007,79807,19226,5493,13733,50307,5047,45260,10274,1774,8500,47,165,2009
"Washington County, Tennessee",120598,118046,57354,12736,3899,8837,37442,3861,33581,7176,713,6463,60692,12060,4524,7536,38506,3875,34631,10126,1484,8642,47,179,2009
"Williamson County, Tennessee",176838,176077,86763,25720,2255,23465,53751,2099,51652,7292,392,6900,89314,24207,2698,21509,56546,2826,53720,8561,639,7922,47,187,2009
"Wilson County, Tennessee",112377,111864,55144,14231,2397,11834,35149,1593,33556,5764,441,5323,56720,13825,3079,10746,35868,2333,33535,7027,903,6124,47,189,2009
"Angelina County, Texas",83675,80860,39605,12927,5252,7675,22219,1974,20245,4459,573,3886,41255,9750,3380,6370,25050,3616,21434,6455,1294,5161,48,005,2009
"Bastrop County, Texas",74876,73281,35622,9355,3071,6284,22691,1214,21477,3576,326,3250,37659,11285,4231,7054,22270,1122,21148,4104,589,3515,48,021,2009
"Bell County, Texas",285787,258766,119876,43582,8575,35007,65447,3839,61608,10847,2947,7900,138890,41317,9294,32023,82746,5932,76814,14827,3592,11235,48,027,2009
"Bexar County, Texas",1651448,1601972,774511,234976,91088,143888,470469,37561,432908,69066,11694,57372,827461,226620,88884,137736,506081,57065,449016,94760,20376,74384,48,029,2009
"Bowie County, Texas",93964,91356,45137,11667,4348,7319,28370,1095,27275,5100,702,4398,46219,11287,4960,6327,27850,2924,24926,7082,1315,5767,48,037,2009
"Brazoria County, Texas",309208,294094,144353,43768,9881,33887,88292,3322,84970,12293,1372,10921,149741,41970,10099,31871,92275,4542,87733,15496,1995,13501,48,039,2009
"Brazos County, Texas",179992,176684,88799,20372,5656,14716,62829,2715,60114,5598,1421,4177,87885,19332,6229,13103,60635,4856,55779,7918,1449,6469,48,041,2009
"Cameron County, Texas",396371,393479,189358,71196,38959,32237,100145,9036,91109,18017,4637,13380,204121,67332,37082,30250,112421,11149,101272,24368,10125,14243,48,061,2009
"Collin County, Texas",791631,788698,395489,113941,12997,100944,253208,5305,247903,28340,3153,25187,393209,107858,12441,95417,251624,7652,243972,33727,4855,28872,48,085,2009
"Comal County, Texas",114525,109767,54622,13936,2841,11095,34288,863,33425,6398,479,5919,55145,13519,2664,10855,34807,1080,33727,6819,867,5952,48,091,2009
"Coryell County, Texas",72529,64790,28803,8566,1345,7221,17908,1125,16783,2329,369,1960,35987,8201,1313,6888,24743,1401,23342,3043,776,2267,48,099,2009
"Dallas County, Texas",2451730,2422799,1226136,352804,126480,226324,787751,34865,752886,85581,13467,72114,1196663,336441,122700,213741,743480,52451,691029,116742,22939,93803,48,113,2009
"Denton County, Texas",658616,654498,326227,92291,17798,74493,215886,4825,211061,18050,1708,16342,328271,87531,15598,71933,218234,10280,207954,22506,4232,18274,48,121,2009
"Ector County, Texas",134625,133480,64858,20054,6912,13142,38824,2268,36556,5980,1158,4822,68622,20375,7482,12893,40461,5372,35089,7786,1521,6265,48,135,2009
"Ellis County, Texas",151737,150871,74603,21654,5862,15792,46075,1565,44510,6874,224,6650,76268,21823,5984,15839,46532,3178,43354,7913,644,7269,48,139,2009
"El Paso County, Texas",751296,731324,347383,120550,58369,62181,194856,11799,183057,31977,6604,25373,383941,115806,58358,57448,222364,24799,197565,45771,13932,31839,48,141,2009
"Fort Bend County, Texas",556870,551435,272988,83151,11806,71345,172166,4729,167437,17671,2775,14896,278447,79411,11241,68170,177802,4500,173302,21234,2922,18312,48,157,2009
"Galveston County, Texas",286814,284327,138863,37361,11306,26055,87981,3130,84851,13521,1644,11877,145464,37092,10242,26850,90425,6408,84017,17947,3294,14653,48,167,2009
"Grayson County, Texas",120030,118413,57965,15117,3481,11636,35097,2444,32653,7751,549,7202,60448,14329,4526,9803,36668,3252,33416,9451,1190,8261,48,181,2009
"Gregg County, Texas",119637,118277,56665,15710,4461,11249,34670,2488,32182,6285,972,5313,61612,16656,4196,12460,35862,3395,32467,9094,1756,7338,48,183,2009
"Guadalupe County, Texas",121432,119838,58950,16393,5004,11389,35919,2541,33378,6638,972,5666,60888,15841,3595,12246,36866,2239,34627,8181,1658,6523,48,187,2009
"Harris County, Texas",4070989,4043183,2024926,600744,215951,384793,1286791,71718,1215073,137391,23937,113454,2018257,573409,196647,376762,1266733,108485,1158248,178115,33216,144899,48,201,2009
"Hays County, Texas",155545,154036,76407,19411,3972,15439,51619,1681,49938,5377,826,4551,77629,18837,4533,14304,51741,2740,49001,7051,1141,5910,48,209,2009
"Henderson County, Texas",78921,77549,37412,8984,3724,5260,21969,1281,20688,6459,798,5661,40137,9316,3703,5613,23094,3209,19885,7727,770,6957,48,213,2009
"Hidalgo County, Texas",741152,736438,359289,137028,83167,53861,191298,11529,179769,30963,9869,21094,377149,132963,79302,53661,205358,21024,184334,38828,14627,24201,48,215,2009
"Hunt County, Texas",82831,81545,39676,10188,3631,6557,24515,1334,23181,4973,679,4294,41869,10462,4906,5556,25565,1718,23847,5842,881,4961,48,231,2009
"Jefferson County, Texas",243237,230732,111485,29902,11937,17965,68800,4501,64299,12783,1532,11251,119247,29443,12206,17237,71285,7559,63726,18519,2297,16222,48,245,2009
"Johnson County, Texas",156997,154013,76632,21763,6494,15269,47723,1724,45999,7146,637,6509,77381,21074,6665,14409,47343,3456,43887,8964,851,8113,48,251,2009
"Kaufman County, Texas",103038,101275,50541,15683,4732,10951,31006,1650,29356,3852,133,3719,50734,13773,3345,10428,31614,3139,28475,5347,607,4740,48,257,2009
"Liberty County, Texas",75779,69827,34767,10651,6060,4591,20790,1645,19145,3326,277,3049,35060,9396,4099,5297,21437,2496,18941,4227,544,3683,48,291,2009
"Lubbock County, Texas",270550,266617,129443,33973,12618,21355,83253,3413,79840,12217,1292,10925,137174,33225,13101,20124,86018,7297,78721,17931,3621,14310,48,303,2009
"McLennan County, Texas",233378,230321,110880,28857,10879,17978,70863,4812,66051,11160,1990,9170,119441,30186,11756,18430,73384,9506,63878,15871,3185,12686,48,309,2009
"Midland County, Texas",132316,131754,64082,18739,5410,13329,38976,1617,37359,6367,1352,5015,67672,17984,4940,13044,41039,3975,37064,8649,1740,6909,48,329,2009
"Montgomery County, Texas",447718,444629,221429,64070,13111,50959,137687,4012,133675,19672,1325,18347,223200,60335,12218,48117,138607,7107,131500,24258,2390,21868,48,339,2009
"Nueces County, Texas",323046,316352,153229,44420,18489,25931,93402,6671,86731,15407,2012,13395,163123,42081,18800,23281,99527,11930,87597,21515,4918,16597,48,355,2009
"Orange County, Texas",81816,81430,39892,10539,4317,6222,24655,1129,23526,4698,437,4261,41538,10192,4444,5748,25196,2064,23132,6150,829,5321,48,361,2009
"Parker County, Texas",114919,112443,55786,15865,3693,12172,34270,1706,32564,5651,416,5235,56657,14292,3901,10391,35144,2838,32306,7221,573,6648,48,367,2009
"Potter County, Texas",121816,119299,60393,17431,7356,10075,37012,2277,34735,5950,1262,4688,58906,16453,7114,9339,34382,4146,30236,8071,2011,6060,48,375,2009
"Randall County, Texas",116483,115885,56075,14754,2437,12317,36693,1755,34938,4628,345,4283,59810,14481,2221,12260,38608,1327,37281,6721,769,5952,48,381,2009
"Rockwall County, Texas",81391,81229,41048,13123,880,12243,24724,503,24221,3201,411,2790,40181,10888,1384,9504,24771,757,24014,4522,802,3720,48,397,2009
"San Patricio County, Texas",68223,66298,32408,9967,4274,5693,18508,1304,17204,3933,776,3157,33890,8764,3286,5478,19960,1705,18255,5166,820,4346,48,409,2009
"Smith County, Texas",204665,203101,97993,27255,9707,17548,58259,2748,55511,12479,1127,11352,105108,25467,9227,16240,62623,5591,57032,17018,2048,14970,48,423,2009
"Tarrant County, Texas",1789900,1772879,884333,259033,82588,176445,560449,19541,540908,64851,7938,56913,888546,248219,68340,179879,554437,34537,519900,85890,13291,72599,48,439,2009
"Taylor County, Texas",127683,121362,56563,15876,5830,10046,34191,2521,31670,6496,583,5913,64799,15727,6867,8860,40164,2802,37362,8908,1265,7643,48,441,2009
"Tom Green County, Texas",108378,102552,47687,13409,5046,8363,28087,1639,26448,6191,1568,4623,54865,12248,3553,8695,33927,1744,32183,8690,2302,6388,48,451,2009
"Travis County, Texas",1026158,1020122,525557,126203,37741,88462,370059,17429,352630,29295,4301,24994,494565,120252,37925,82327,336352,26122,310230,37961,7865,30096,48,453,2009
"Victoria County, Texas",87790,87292,42245,12290,3036,9254,24901,1716,23185,5054,800,4254,45047,11909,2801,9108,26456,2344,24112,6682,930,5752,48,469,2009
"Webb County, Texas",241438,239573,114710,45779,25860,19919,61078,3653,57425,7853,2318,5535,124863,45231,23986,21245,68357,5667,62690,11275,4979,6296,48,479,2009
"Wichita County, Texas",127616,115412,53809,15055,3229,11826,32513,1918,30595,6241,551,5690,61603,14892,3765,11127,37518,3625,33893,9193,970,8223,48,485,2009
"Williamson County, Texas",410686,408278,205231,59667,10485,49182,129290,5479,123811,16274,2738,13536,203047,55987,9329,46658,126172,7586,118586,20888,3280,17608,48,491,2009
"Cache County, Utah",115269,114621,57040,18832,4174,14658,34227,1586,32641,3981,640,3341,57581,16660,4092,12568,36207,3193,33014,4714,794,3920,49,005,2009
"Davis County, Utah",300827,294647,147386,52514,6073,46441,83946,3537,80409,10926,1279,9647,147261,48981,5353,43628,86311,5338,80973,11969,1289,10680,49,011,2009
"Salt Lake County, Utah",1034989,1024876,518080,154841,26020,128821,323914,15034,308880,39325,5052,34273,506796,145838,26130,119708,312317,19510,292807,48641,7343,41298,49,035,2009
"Utah County, Utah",545307,542826,269506,97706,15499,82207,155914,8954,146960,15886,2001,13885,273320,91603,16303,75300,162242,9647,152595,19475,2804,16671,49,049,2009
"Washington County, Utah",137473,136582,67699,20778,5587,15191,35940,2473,33467,10981,340,10641,68883,20116,5673,14443,36509,3725,32784,12258,949,11309,49,053,2009
"Weber County, Utah",231834,229611,115492,35976,7174,28802,69228,3291,65937,10288,1415,8873,114119,32789,6710,26079,68378,5385,62993,12952,1756,11196,49,057,2009
"Chittenden County, Vermont",152313,151156,73538,15262,4320,10942,51852,4993,46859,6424,671,5753,77618,15252,3926,11326,53897,5930,47967,8469,1431,7038,50,007,2009
"Albemarle County, Virginia",94908,93969,45058,10323,957,9366,29840,774,29066,4895,449,4446,48911,10043,1065,8978,32245,605,31640,6623,1075,5548,51,003,2009
