"","State","Year","Governor","Senate","House","total_gov"
"X1336","Pennsylvania",2013,"R","R","R","R"
"X1436","Pennsylvania",2014,"R","R","R","R"
"X1536","Pennsylvania",2015,"D","R","R","Split"
"X1636","Pennsylvania",2016,"D","R","R","Split"
"X1736","Pennsylvania",2017,"D","R","R","Split"
"X1836","Pennsylvania",2018,"D","R","R","Split"
"X1936","Pennsylvania",2019,"D","R","R","Split"
"X2036","Pennsylvania",2020,"D","R","R","Split"
"X2136","Pennsylvania",2021,"D","R","R","Split"
"X2236","Pennsylvania",2022,"D","R","R","Split"
"X2336","Pennsylvania",2023,"D","R","D","Split"
"X2436","Pennsylvania",2024,"D","R","D","Split"
"X2532","Pennsylvania",2025,"D","R","_",NA
"X1037","Rhode Island",2010,"R","D","D","Split"
"X1137","Rhode Island",2011,"I","D","D","Split"
"X1237","Rhode Island",2012,"I","D","D","Split"
"X1337","Rhode Island",2013,"D","D","D","D"
"X1437","Rhode Island",2014,"D","D","D","D"
"X1537","Rhode Island",2015,"D","D","D","D"
"X1637","Rhode Island",2016,"D","D","D","D"
"X1737","Rhode Island",2017,"D","D","D","D"
"X1837","Rhode Island",2018,"D","D","D","D"
