state,benefits_total,benefits_federal,benefits_state,administration_total,administration_federal,administration_state,medicaid_total,medicaid_federal,medicaid_state,year
massachusetts,23228.189899,14117.766073,9110.423826,1259.732361,733.448392,526.283969,24487.92226,14851.214465000001,9636.707795,2023
michigan,22991.355684,17485.746653,5505.609031,750.462211,473.469803,276.992408,23741.817895,17959.216456,5782.601439,2023
minnesota,18315.485685,11669.860267,6645.625418,797.59333,452.306021,345.287309,19113.079015,12122.166288,6990.912727,2023
mississippi,6324.317586,5220.083464,1104.234122,223.288317,151.377421,71.910896,6547.605903,5371.460885,1176.1450180000002,2023
missouri,15864.615465,12455.873461,3408.742004,493.067127,302.88434,190.182787,16357.682592000001,12758.757801,3598.9247910000004,2023
montana,2338.762637,1869.525683,469.236954,106.2788,73.994555,32.284245,2445.041437,1943.520238,501.521199,2023
nebraska,3748.830826,2611.920876,1136.90995,182.023187,116.924992,65.098195,3930.854013,2728.8458680000003,1202.008145,2023
nevada,5571.967956,4296.891919,1275.076037,198.376858,123.720428,74.65643,5770.344814,4420.612346999999,1349.732467,2023
new hampshire,2444.300232,1496.525196,947.775036,148.539529,102.329815,46.209714,2592.839761,1598.855011,993.98475,2023
new jersey,22309.83272,14301.29046,8008.54226,1022.653986,624.255942,398.398044,23332.486706,14925.546402,8406.940304,2023
